geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1259,-23.541418553843297,-46.685303896769355
1262,-23.550856391462712,-46.67735184892536
1290,-23.54096134139296,-46.65774870275258
1301,-23.549328970281234,-46.650890098687555
1302,-23.5490029212623,-46.649552278636094
1303,-23.54950569815466,-46.64843251428849
1304,-23.554056434811184,-46.655202368713134
1305,-23.55262273586526,-46.65253828877208
1306,-23.553785206718914,-46.64960509694538
1307,-23.552778010115734,-46.65320770049066
1308,-23.555981373614493,-46.65331111428111
1309,-23.55549308001593,-46.65845218950067
1310,-23.56165294846951,-46.656021304307245
1311,-23.56450460938095,-46.65279265595322
1312,-23.554793872613377,-46.64961491794627
1313,-23.556111699158375,-46.65057380587253
1314,-23.552640734461253,-46.645204377633014
1315,-23.55408999997805,-46.64038909569764
1316,-23.55295484539391,-46.63943281932129
1317,-23.55623821364504,-46.64005986522849
1318,-23.559447989888127,-46.64241273733221
1319,-23.551881657731418,-46.64072797271626
1320,-23.557955062291967,-46.639347399325395
1321,-23.562128634884576,-46.64191854981315
1322,-23.56317165882957,-46.643456141575236
1323,-23.565734784650232,-46.64147810312642
1324,-23.55521473546573,-46.64315074020321
1325,-23.557390163497686,-46.64445833667601
1326,-23.556539014688955,-46.64543956179801
1327,-23.565113424714433,-46.644944579328765
1328,-23.55599268648501,-46.64679480230547
1329,-23.5619775213248,-46.64728109566715
1330,-23.55903788611603,-46.64945883730207
1331,-23.562664414712174,-46.649996658057816
1332,-23.55956858757865,-46.65245164487604
1333,-23.566435052408952,-46.647563596618966
1401,-23.575807250351694,-46.65865462724655
1402,-23.57483739004907,-46.65739203989354
1403,-23.56875503877107,-46.65340944414582
1404,-23.56854473362845,-46.655780276658064
1405,-23.564762579634404,-46.65513838518371
1406,-23.57481433896783,-46.67029927274052
1407,-23.57611188442895,-46.67139205737761
1408,-23.567111895028116,-46.66081341581777
1409,-23.56146082458663,-46.6582620039177
1410,-23.56283144586961,-46.66092524802456
1411,-23.564247867542992,-46.664059567949934
1412,-23.563651580737666,-46.666024121075246
1413,-23.56181450412446,-46.664033954271915
1414,-23.559623493719684,-46.6634964553206
1415,-23.556091716483266,-46.660462198375605
1416,-23.560692913961418,-46.667688532670496
1417,-23.552778853099582,-46.63393189503632
1418,-23.56411614903986,-46.65527239864382
1419,-23.563541620009776,-46.65594961304885
1420,-23.5634354904988,-46.65791603919698
1421,-23.563299264968794,-46.66015369245717
1422,-23.56396191070736,-46.66113236841588
1423,-23.56914511719341,-46.65734766505129
1424,-23.568041456805933,-46.66139884320943
1425,-23.572898532495437,-46.65924739236763
1426,-23.565860397098277,-46.66603169632676
1427,-23.571044764791594,-46.66406861421766
1428,-23.573938872860044,-46.66232632374679
1429,-23.576384455529094,-46.662900007074334
1430,-23.65614006235602,-46.66250204609212
1431,-23.62038877983607,-46.66476818452366
1432,-23.576485879805993,-46.6657860583567
1433,-23.57840745461661,-46.668372955959875
1434,-23.574646544842807,-46.672377399015254
1435,-23.579321845605374,-46.670178668968695
1436,-23.57245538592821,-46.667988716169425
1437,-23.5721412540443,-46.67150329618943
1438,-23.569803708774252,-46.67226487905968
1439,-23.566289488092035,-46.673571417782284
1440,-23.568289458157125,-46.67817024606098
1441,-23.570603894261335,-46.683732096759904
1442,-23.566530732061704,-46.67861605515885
1443,-23.568268938910098,-46.684507863331326
1444,-23.573235541829785,-46.68752695447545
1445,-23.57103798335723,-46.688068007270104
1446,-23.575583788550983,-46.675498893884544
1447,-23.57278680948971,-46.67888556258397
1448,-23.578237896388117,-46.67982269335621
1449,-23.576116917727894,-46.67995669824682
1450,-23.576453178872967,-46.68518508958671
1451,-23.577435950107756,-46.68698984950364
1452,-23.57499644597807,-46.68887938403563
1453,-23.584059003974744,-46.68637610894469
1454,-23.582376976278102,-46.68670275509793
1455,-23.580554136002814,-46.69112136854049
1456,-23.576839765441044,-46.69098724900726
1457,-23.575237809829588,-46.69270350960496
1472,-23.57054369248079,-46.69129667943905
1489,-23.576649988891482,-46.68740004775215
1501,-23.55246935619688,-46.63548543836742
1502,-23.55460594212853,-46.63549256113905
1503,-23.557709002952702,-46.636769371015525
1504,-23.5668605804581,-46.639505296222325
1505,-23.555267611186444,-46.63182476204628
1506,-23.559558667862476,-46.635032185031825
1507,-23.558146418434657,-46.63176589052544
1508,-23.561423631210438,-46.63583005941288
1509,-23.567010080253134,-46.6357981412501
1510,-23.557602164986584,-46.63361528281083
1511,-23.561456812728608,-46.63294793571506
1512,-23.553717206079803,-46.62949909730413
1513,-23.548914356972645,-46.60384461609751
1514,-23.554377818784552,-46.62833776862852
1516,-23.559073244239713,-46.615479964241814
1517,-23.559613278440462,-46.62400348069892
1518,-23.559209262391256,-46.62318692012761
1519,-23.56092636240119,-46.624757067871656
1520,-23.5593782690559,-46.620164019414474
1521,-23.561174444941702,-46.621509031668836
1522,-23.559920265800763,-46.61598186753571
1523,-23.564203478452267,-46.61689706470856
1524,-23.56778327483324,-46.61340053805787
1525,-23.564028977467746,-46.63495391124952
1526,-23.565952267759908,-46.63094391856622
1527,-23.562439173525966,-46.62919220917373
1528,-23.56477004530615,-46.627165924834166
1529,-23.568439156874526,-46.63455549164137
1530,-23.568944498063473,-46.6300891882054
1531,-23.57076062771336,-46.63242524738392
1532,-23.570534217612988,-46.636111876960506
1533,-23.571168123099824,-46.63836454335033
1534,-23.567543590159623,-46.626085143450254
1535,-23.572433214905786,-46.62524136188219
1536,-23.569032131454914,-46.6234362735564
1537,-23.57442284838845,-46.62313726443156
1538,-23.576312823278332,-46.62362934794424
1539,-23.5711528559151,-46.62043601303771
1540,-23.565851346289612,-46.622581508600845
1541,-23.56925274057871,-46.6186169730581
1542,-23.57106582708014,-46.62406014113324
1543,-23.573720975073698,-46.62387176826929
1544,-23.57725543271809,-46.621631742215655
1545,-23.58097414309848,-46.61831033162644
1546,-23.579039318151192,-46.62195565179698
1547,-23.5829939617234,-46.621126761640326
1548,-23.576927145286824,-46.613420785199985
1549,-23.576317533999347,-46.61558665669374
1550,-23.573056606592885,-46.61615054561147
1551,-23.57273791226793,-46.612680073611074
1552,-23.569490695195096,-46.611321773237286
1553,-23.574487923181074,-46.60919807994077
2009,-23.515799103830265,-46.64113909097136
2010,-23.51056158921295,-46.626354973313795
2011,-23.504385034128493,-46.62662104590108
2012,-23.5130660261885,-46.631968177617644
2013,-23.5022061742251,-46.63311453979945
2016,-23.503984838767177,-46.62567215993881
2017,-23.500742944360795,-46.63469457728484
2018,-23.495703706178833,-46.62970690460868
2019,-23.49826308491997,-46.629651561730405
2020,-23.49646860368892,-46.63329280565476
2021,-23.49830914117729,-46.63588589846431
2022,-23.504073903424537,-46.6376709347386
2028,-23.508702544567765,-46.61833692171871
2029,-23.50936207852278,-46.619343553001265
2030,-23.5058713385214,-46.62468256911273
2031,-23.510062708819763,-46.6257781627838
2032,-23.511068260729207,-46.623849822224365
2033,-23.49990045339548,-46.615049990749235
2034,-23.504072876495652,-46.62414421625582
2035,-23.496211310932598,-46.622825008730615
2036,-23.50174430714342,-46.62080286230928
2037,-23.499718221076254,-46.62055504527753
2038,-23.49523752805909,-46.62416228233209
2039,-23.49302509597309,-46.621603479583534
2040,-23.48965996001443,-46.62257166509294
2041,-23.490626476607115,-46.62307980262541
2042,-23.494233904442225,-46.61637715243747
2043,-23.489943419781977,-46.61612445688869
2044,-23.495724717630402,-46.618787965852384
2045,-23.49614649201779,-46.6164029191789
2046,-23.49228045530089,-46.611769402075694
2047,-23.51721555382505,-46.61867396387229
2049,-23.514166590335094,-46.61736559414439
2050,-23.51734415478189,-46.612135226939586
2051,-23.509988340079175,-46.607764415391046
2052,-23.51297446615503,-46.60778378479692
2053,-23.513227598850435,-46.602792691111
2054,-23.517195508095334,-46.606699212204454
2055,-23.51402973131884,-46.60712616164343
2056,-23.512302133311657,-46.60278807725412
2060,-23.51900515519527,-46.60286093182149
2064,-23.517676960434017,-46.597964629407336
2065,-23.507711240884014,-46.605369299131056
2066,-23.508643305018005,-46.6052956688157
2067,-23.506720281053305,-46.603653419963514
2068,-23.5051325062282,-46.612375320762865
2069,-23.505534343983754,-46.613927707539226
2071,-23.504278758029905,-46.6064276723511
2072,-23.50016492784018,-46.60405533511345
2073,-23.501832028037175,-46.607133930305224
2074,-23.50521986198309,-46.600447504954765
2075,-23.505454220429986,-46.60232703217922
2076,-23.504660529782434,-46.59909846180968
2077,-23.502316162953992,-46.59729440070282
2078,-23.50224822474882,-46.595609671297865
2079,-23.499287714127025,-46.605785079672366
2080,-23.497670419903162,-46.605361571706716
2081,-23.49584133260362,-46.60469932466566
2082,-23.494597064568044,-46.60716679313655
2083,-23.495321455594578,-46.59793556042432
2084,-23.497275216798553,-46.59974305553181
2085,-23.4979526826485,-46.61296773775951
2088,-23.504240259718838,-46.620742066583865
2089,-23.517094484592327,-46.616673100755904
2110,-23.519097465042975,-46.595538854316054
2111,-23.517643001212136,-46.592756877647595
2112,-23.517448624283094,-46.59045121964735
2113,-23.517720495682244,-46.58922662034002
2114,-23.522317926702843,-46.59061483317943
2115,-23.526589649122574,-46.59169265929573
2116,-23.520110678825997,-46.58524004305731
2117,-23.51865496410496,-46.59365984819465
2118,-23.515006511347323,-46.592774634882375
2119,-23.51220780313035,-46.59263904944159
2120,-23.510824402445753,-46.59388576024579
2121,-23.51222906922023,-46.589683318804106
2122,-23.51196609358015,-46.58386437718145
2123,-23.511838083991442,-46.579442496039015
2124,-23.50697691302586,-46.57712086357543
2125,-23.509839952402746,-46.58680335489368
2126,-23.506898021382852,-46.591751147883535
2127,-23.50559796845306,-46.58726574110867
2128,-23.50501951707933,-46.593942564083434
2129,-23.50371906481274,-46.588291028965315
2130,-23.50846749738403,-46.58356366642945
2131,-23.50432881186952,-46.58250945058417
2132,-23.501320929534852,-46.577656627878746
2133,-23.49908122442092,-46.58472476845841
2134,-23.498613267408857,-46.57978572229728
2135,-23.49793218940606,-46.584612291700225
2136,-23.49875432423628,-46.58237728186107
2137,-23.49795326926181,-46.57611869717362
2138,-23.49346386270857,-46.574516976352136
2139,-23.490468265934737,-46.57353020032566
2141,-23.488986884986797,-46.570653280675494
2142,-23.51019871070172,-46.57671781547334
2143,-23.507217446152122,-46.57496712581993
2144,-23.50369564795767,-46.570756169824115
2145,-23.50235732946796,-46.56625930442226
2146,-23.500957023313518,-46.570882263950566
2147,-23.498361926574916,-46.565166700263546
2150,-23.494034669174983,-46.568633209704345
2151,-23.496962716414327,-46.56955259688865
2152,-23.49736136522832,-46.572231727088045
2161,-23.490165194182673,-46.569283719186814
2162,-23.490653213841014,-46.562830785355374
2166,-23.525209057038598,-46.58402154568833
2167,-23.522695763662153,-46.58161990876913
2168,-23.520605527352917,-46.57950339815872
2169,-23.549584845417158,-46.62029999286664
2170,-23.525644299521666,-46.57701341026048
2174,-23.522923542862063,-46.57242472056035
2175,-23.515886694400297,-46.57489158730298
2176,-23.513598902883622,-46.57306528500429
2177,-23.508734336146947,-46.5585298971563
2178,-23.521664986950235,-46.57052387650715
2179,-23.520410060508976,-46.56823533906901
2180,-23.51921070636201,-46.5659557064848
2181,-23.518687477370364,-46.561020759548384
2185,-23.514699154771932,-46.56748610841785
2186,-23.514056203198084,-46.56906006229932
2187,-23.515871385977842,-46.56490977736317
2188,-23.509466194005064,-46.566981988420444
2189,-23.507787143908228,-46.567467709487815
2190,-23.507148054284894,-46.56397315445738
2201,-23.486228925529453,-46.592006127066014
2202,-23.493048682907922,-46.594815497067216
2203,-23.491870834979046,-46.59134807783874
2204,-23.48741125450329,-46.592162394636865
2205,-23.48798815884837,-46.59119431348124
2206,-23.484620569713123,-46.59404547791869
2207,-23.485985491921372,-46.588188764979016
2208,-23.48301553679173,-46.58951864576983
2209,-23.485125790212166,-46.58537751870623
2210,-23.48255993586802,-46.5821023396063
2211,-23.497399003686304,-46.59360543538116
2212,-23.495647470348985,-46.58925913931689
2213,-23.496166309003105,-46.588125709525514
2214,-23.492851437763264,-46.58679821915495
2215,-23.490758745356786,-46.58336932471798
2216,-23.493057912566336,-46.57978444125484
2217,-23.490353655303625,-46.58017565573048
2218,-23.486787085002952,-46.584808459708036
2219,-23.490776738309968,-46.5859266188746
2220,-23.489760624425745,-46.5776765153455
2221,-23.481505719547886,-46.5814202328246
2222,-23.482555519831934,-46.57558643715371
2223,-23.48163665026993,-46.58016703941922
2224,-23.484505055041186,-46.57377385004951
2225,-23.48272229501907,-46.57510689223968
2226,-23.480130351279392,-46.57362187381917
2227,-23.478725053779495,-46.572374003941746
2228,-23.475495630292404,-46.571541550134114
2229,-23.476573316835697,-46.56882032587766
2230,-23.483775068199005,-46.56365865538832
2231,-23.47687573682863,-46.56526256366798
2232,-23.475701389862248,-46.56397251801403
2233,-23.4776561196874,-46.56457732269161
2234,-23.47853873640821,-46.56954461942566
2235,-23.479332643151153,-46.575940355471346
2236,-23.472602604059695,-46.56815995594543
2237,-23.51312062964776,-46.58647209667304
2238,-23.471205040999266,-46.571583338825526
2239,-23.48530328070372,-46.60905983041343
2240,-23.4778856281969,-46.60221184734805
2241,-23.49066870653631,-46.607439259928306
2242,-23.48761470851276,-46.603991023751746
2243,-23.49161847661669,-46.60386922937252
2244,-23.488514873849823,-46.604866164915876
2245,-23.484776590879946,-46.60659423636553
2246,-23.488711898944423,-46.60168729815544
2247,-23.486067152325234,-46.601241723560285
2248,-23.483179348192554,-46.599433268701475
2249,-23.4888756467434,-46.59708898310221
2250,-23.486516506481184,-46.596216323528104
2251,-23.47752139072528,-46.59033969656587
2252,-23.478744151127014,-46.58831651709552
2253,-23.479354242089908,-46.59550028538906
2254,-23.481247005440782,-46.59340498656688
2255,-23.4769006396533,-46.59193773517071
2256,-23.475325486280006,-46.58721405336572
2257,-23.47289605523658,-46.58317659354317
2258,-23.475983214969734,-46.5819046360353
2259,-23.471752671094713,-46.58096467398982
2260,-23.469197012597693,-46.57960857271055
2261,-23.467505149821424,-46.577296212716455
2262,-23.465515929407616,-46.574828828447714
2263,-23.463478173917835,-46.5758082226059
2264,-23.46233583222787,-46.576558613536264
2265,-23.474254219342598,-46.592025360562616
2266,-23.477148867774364,-46.59818684545332
2267,-23.478736970872514,-46.60073592895292
2268,-23.469811281575684,-46.59488942723796
2269,-23.472080251747208,-46.59597728801659
2270,-23.472487631945604,-46.593039910178874
2271,-23.469698891187846,-46.589960219256
2272,-23.469253640421556,-46.58668000150149
2273,-23.463513771636933,-46.586237323090096
2274,-23.46705177563329,-46.58792075620117
2275,-23.465700020271463,-46.59026923297841
2276,-23.461193054352833,-46.584097602470976
2277,-23.463673865033027,-46.58178259280421
2278,-23.462796772074118,-46.57962451006693
2279,-23.46687349566678,-46.58000203721854
2280,-23.45589627791164,-46.575161628150674
2281,-23.451987428905884,-46.57510493774137
2282,-23.443066609900335,-46.56777480774579
2284,-23.469703196411853,-46.568682720835504
2286,-23.40858677491484,-46.579603243407014
2288,-23.433725580177743,-46.57085753408755
2289,-23.418497896358737,-46.58268766427381
2290,-23.600461999607685,-46.65531792495907
2301,-23.48866385800238,-46.61501892936472
2302,-23.486036505173374,-46.61401078807773
2303,-23.48200957368023,-46.61050117980293
